,MDT-O ,Object,Set #,Notes,notes2
2922,118a_2.jpg,baby bottle,d,duplicates,delete
2923,118b_2.jpg,baby bottle,d,duplicates,delete
2924,119a_1.jpg,plant,d,duplicates,delete
2925,119b_1.jpg,plant,d,duplicates,delete
2926,120a_1.jpg,coconut,d,duplicates,delete
2927,120b_1.jpg,coconut,d,duplicates,delete
2930,122a_1.jpg,pasta server,d,duplicates,delete
2931,122b_1.jpg,pasta server,d,duplicates,delete
2934,124a_2.jpg,door knock,d,duplicates,delete
2935,124b_2.jpg,door knock,d,duplicates,delete
2940,127a_2.jpg,picture frame,d,blurry,delete
2941,127b_2.jpg,picture frame,d,blurry,delete
2946,130a_2.jpg,piñata,d,duplicates,delete
2947,130b_2.jpg,piñata,d,duplicates,delete
2950,132a_2.jpg,lawn mower vehicle,d,blurry,delete
2951,132b_2.jpg,lawn mower vehicle,d,blurry,delete
2954,134a_2.jpg,boxes on dolly,d,similar,delete
2955,134b_2.jpg,boxes on dolly,d,similar,delete
2964,139a_1.jpg,saddle,d,duplicates,delete
2965,139b_1.jpg,saddle,d,duplicates,delete
2966,140a_2.jpg,old gps,d,duplicates,delete
2967,140b_2.jpg,old gps,d,duplicates,delete
2976,145a_1.jpg,arcade game,d,similar,delete
2977,145b_1.jpg,arcade game,d,similar,delete
2980,147a_2.jpg,tissues,d,Duplicate of set 6 image 106,delete
2981,147b_2.jpg,tissues,d,Duplicate of set 6 image 106,delete
2982,148a_1.jpg,fire hydrant,d,duplicates,delete
2983,148b_1.jpg,fire hydrant,d,duplicates,delete
2990,152a_1.jpg,cradle,d,hard to identify,delete
2991,152b_1.jpg,cradle,d,hard to identify,delete
2992,153a_2.jpg,bathroom sink,d,duplicates,delete
2993,153b_2.jpg,bathroom sink,d,duplicates,delete
2996,155a_2.jpg,hair brush,d,duplicates,delete
2997,155b_2.jpg,hair brush,d,duplicates,delete
3002,158a_1.jpg,soap dispenser,d,"hard to identify, similar concept",delete
3003,158b_1.jpg,soap dispenser,d,"hard to identify, similar concept",delete
3006,160a_1.jpg,multipurpose knife set,d,duplicates,delete
3007,160b_1.jpg,multipurpose knife set,d,duplicates,delete
3008,161a_1.jpg,fruit cake,d,duplicates,delete
3009,161b_1.jpg,fruit cake,d,duplicates,delete
3010,162a_2.jpeg,electric lamp,d,duplicates,delete
3011,162b_2.jpg,electric lamp,d,duplicates,delete
3012,163a_2.jpg,shopping cart,d,duplicates,delete
3013,163b_2.jpg,shopping cart,d,duplicates,delete
3014,164a_1.jpg,baloon,d,similar,delete
3015,164b_1.jpg,baloon,d,similar,delete
3016,165a_1.jpg,slinky,d,duplicates,delete
3017,165b_1.jpg,slinky,d,duplicates,delete
3018,166a_2.jpg,leather couch,d,Duplicate of set 2 image 180,delete
3019,166b_2.jpg,leather couch,d,Duplicate of set 2 image 180,delete
3022,168a_1.jpg,glass of wine,d,Duplicate of set 2 #57,delete
3023,168b_1.jpg,glass of wine,d,Duplicate of set 2 #57,delete
3028,171a_2.jpg,gas pump,d,duplicate,delete
3029,171b_2.jpg,gas pump,d,duplicate,delete
3030,172a_2.jpg,bike wheel,d,duplicate,delete
3031,172b_2.jpg,bike wheel,d,duplicate,delete
3032,173a_2.jpg,wine rack,d,duplicate,delete
3033,173b_2.jpg,wine rack,d,duplicate,delete
3036,175a_1.jpg,handle,d,duplicate,delete
3037,175b_1.jpg,handle,d,duplicate,delete
3038,176a_1.jpg,BBQ grill,d,duplicate,delete
3039,176b_1.jpg,BBQ grill,d,duplicate,delete
3042,178a_2.jpg,plunger,d,duplicate,delete
3043,178b_2.jpg,plunger,d,duplicate,delete
3044,179a_1.jpg,towels,d,duplicate,delete
3045,179b_1.jpg,towels,d,duplicate,delete
3048,181a_1.jpg,toy truck,d,duplicate,delete
3049,181b_1.jpg,toy truck,d,duplicate,delete
3050,182a_2.jpg,bar stool,d,duplicate,delete
3051,182b_2.jpg,bar stool,d,duplicate,delete
3052,183a_1.jpg,office drawer,d,blurry,delete
3053,183b_1.jpg,office drawer,d,blurry,delete
3062,188a_2.jpg,hole puncher,d,duplicate,delete
3063,188b_2.jpg,hole puncher,d,duplicate,delete
3074,002a_2.jpg,pizza slice,e,duplicate,delete
3075,002b_2.jpg,pizza slice,e,duplicate,delete
3078,004a_1.jpg,chicken drumsticks,e,duplicate,delete
3079,004b_1.jpg,chicken drumsticks,e,duplicate,delete
3080,005a_2.jpg,high heels,e,similar ,delete
3081,005b_2.jpg,high heels,e,similar ,delete
3084,007a_2.jpg,mini BBQ grill,e,duplicate,delete
3085,007b_2.jpg,mini BBQ grill,e,duplicate,delete
3086,008a_1.jpg,slotted turner,e,similar,delete
3087,008b_1.jpg,slotted turner,e,similar,delete
3089,009b_1.jpg,pitcher,e,similar,delete
3090,010a_2.jpg,hair brush,e,similar,delete
3091,010b_2.jpg,hair brush,e,similar,delete
3092,011a_1.jpg,ladel,e,similar,delete
3094,012a_2.jpg,pepper mill,e,duplicate,delete
3095,012b_2.jpg,pepper mill,e,duplicate,delete
3096,013a_1.jpg,tennis ball,e,duplicate,delete
3097,013b_1.jpg,tennis ball,e,duplicate,delete
3098,014a_2.jpg,bonsai tree,e,duplicate,delete
3099,014b_2.jpg,bonsai tree,e,duplicate,delete
3100,015a_1.jpg,hammok,e,similar,delete
3101,015b_1.jpg,hammok,e,similar,delete
3104,017a_1.jpg,purse,e,similar,delete
3105,017b_1.jpg,purse,e,similar,delete
3106,018a_1.jpg,old telephone,e,similar,delete
3107,018b_1.jpg,old telephone,e,similar,delete
3108,019a_2.jpg,lime,e,duplicate,delete
3109,019b_2.jpg,lime,e,duplicate,delete
3110,020a_1.jpg,can opener,e,duplicate,delete
3111,020b_1.jpg,can opener,e,duplicate,delete
3120,025a_1.jpg,donut,e,duplicate,delete
3121,025b_1.jpg,donut,e,duplicate,delete
3126,028a_1.jpg,standing mirror,e,duplicate,delete
3127,028b_1.jpg,standing mirror,e,duplicate,delete
3128,029a_2.jpg,electric hand mixer,e,Duplicate of set 3 #86,delete
3129,029b_2.jpg,electric hand mixer,e,Duplicate of set 3 #86,delete
3130,030a_1.jpg,beach ball,e,duplicate,delete
3131,030b_1.jpg,beach ball,e,duplicate,delete
3132,031a_2.jpg,black bowl,e,duplicate,delete
3133,031b_2.jpg,black bowl,e,duplicate,delete
3144,037a_1.jpg,swing,e,similar,delete
3145,037b_1.jpg,swing,e,similar,delete
3148,039a_2.jpg,duffle bag,e,duplicate,delete
3149,039b_2.jpg,duffle bag,e,duplicate,delete
3150,040a_2.jpg,jalapeño pepper,e,duplicate,delete
3151,040b_2.jpg,jalapeño pepper,e,duplicate,delete
3154,042a_2.jpg,chocolate popsicle,e,duplicate,delete
3155,042b_2.jpg,chocolate popsicle,e,duplicate,delete
3156,043a_1.jpg,fan,e,similar,delete
3157,043b_1.jpg,fan,e,similar,delete
3162,046a_2.jpg,hose clamp,e,hard to identify,delete
3163,046b_2.jpg,hose clamp,e,hard to identify,delete
3164,047a_1.jpg,floor lamp,e,duplicate,delete
3165,047b_1.jpg,floor lamp,e,duplicate,delete
3166,048a_1.jpg,spoon measuring set,e,duplicate,delete
3167,048b_1.jpg,spoon measuring set,e,duplicate,delete
3168,049a_1.jpg,fountain pen,e,duplicate,delete
3169,049b_1.jpg,fountain pen,e,duplicate,delete
3170,050a_1.jpg,pogo stick,e,hard to identify,delete
3171,050b_1.jpg,pogo stick,e,hard to identify,delete
3172,051a_1.jpg,cat stratcher,e,duplicate,delete
3173,051b_1.jpg,cat stratcher,e,duplicate,delete
3174,052a_2.jpg,rubics cube,e,Duplicate of set 6 image 95,delete
3175,052b_2.jpg,rubics cube,e,Duplicate of set 6 image 95,delete
3178,054a_2.jpg,candle stick,e,similar,delete
3179,054b_2.jpg,candle stick,e,similar,delete
3180,055a_2.jpg,bar stool,e,similar,delete
3181,055b_2.jpg,bar stool,e,similar,delete
3184,057a_1.jpg,bed,e,duplicate,delete
3185,057b_1.jpg,bed,e,duplicate,delete
3196,063a_2.jpg,pom poms,e,duplicate,delete
3197,063b_2.jpg,pom poms,e,duplicate,delete
3198,064a_2.jpg,hole puncher,e,duplicate,delete
3199,064b_2.jpg,hole puncher,e,duplicate,delete
3200,065a_1.jpg,file cabinet,e,duplicate,delete
3201,065b_1.jpg,file cabinet,e,duplicate,delete
3202,066a_1.jpg,hair clips,e,duplicate,delete
3203,066b_1.jpg,hair clips,e,duplicate,delete
3204,067a_1.jpg,hair clips,e,duplicate,delete
3205,067b_1.jpg,hair clips,e,duplicate,delete
3206,068a_2.jpg,apple core,e,duplicate,delete
3207,068b_2.jpg,apple core,e,duplicate,delete
3214,072a_1.jpg,treadmill,e,duplicate,delete
3215,072b_1.jpg,treadmill,e,duplicate,delete
3224,077a_2.jpg,bowl of chips,e,similar,delete
3225,077b_2.jpg,bowl of chips,e,similar,delete
3230,080a_2.jpg,soap,e,duplicate,delete
3231,080b_2.jpg,soap,e,duplicate,delete
3232,081a_1.jpg,alcohol flask,e,duplicate,delete
3233,081b_1.jpg,alcohol flask,e,duplicate,delete
3234,082a_1.jpg,bass guitar,e,similar,delete
3235,082b_1.jpg,bass guitar,e,similar,delete
3240,085a_2.jpg,santa hat,e,duplicate,delete
3241,085b_2.jpg,santa hat,e,duplicate,delete
3242,086a_1.jpg,soap dispenser,e,duplicate,delete
3243,086b_1.jpg,soap dispenser,e,duplicate,delete
3252,091a_2.jpg,paper cutter,e,duplicate,delete
3253,091b_2.jpg,paper cutter,e,duplicate,delete
3254,092a_1.jpg,pancake,e,duplicate,delete
3255,092b_1.jpg,pancake,e,duplicate,delete
3258,094a_1.jpg,sailboat maquette,e,duplicate,delete
3259,094b_1.jpg,sailboat maquette,e,duplicate,delete
3260,095a_2.jpg,gift gibbons,e,duplicate,delete
3261,095b_2.jpg,gift gibbons,e,duplicate,delete
3264,097a_1.jpg,frying pan,e,Duplicate of set 3 image 13,delete
3265,097b_1.jpg,frying pan,e,Duplicate of set 3 image 13,delete
3270,100a_2.jpg,monkey with cymbals,e,duplicate,delete
3271,100b_2.jpg,monkey with cymbals,e,duplicate,delete
3274,102a_1.jpg,robot dog,e,duplicate,delete
3275,102b_1.jpg,robot dog,e,duplicate,delete
3278,104a_1.jpg,stack of chairs,e,similar,delete
3279,104b_1.jpg,stack of chairs,e,similar,delete
3286,108a_1.jpg,bellow,e,hard to identify,delete
3287,108b_1.jpg,bellow,e,hard to identify,delete
3292,111a_1.jpg,bloody mary cocktail,e,duplicate,delete
3293,111b_1.jpg,bloody mary cocktail,e,duplicate,delete
3306,118a_2.jpg,feather duster,e,duplicate,delete
3307,118b_2.jpg,feather duster,e,duplicate,delete
3312,121a_2.jpg,hair straightener,e,blurry image,delete
3314,122a_1.jpg,wooden ball toy,e,duplicate,delete
3315,122b_1.jpg,wooden ball toy,e,duplicate,delete
3316,123a_1.jpg,air hockey,e,duplicate,delete
3317,123b_1.jpg,air hockey,e,duplicate,delete
3318,124a_2.jpg,knife rack,e,similar,delete
3319,124b_2.jpg,knife rack,e,similar,delete
3320,125a_1.jpg,lint roller,e,duplicate,delete
3321,125b_1.jpg,lint roller,e,duplicate,delete
3322,126a_1.jpg,maple syrup,e,duplicate,delete
3323,126b_1.jpg,maple syrup,e,duplicate,delete
3324,127a_2.jpg,ankle boot,e,duplicate,delete
3325,127b_2.jpg,ankle boot,e,duplicate,delete
3326,128a_2.jpg,paper décor,e,duplicate,delete
3327,128b_2.jpg,paper décor,e,duplicate,delete
3328,129a_2.jpg,potato masher,e,hard to identify,delete
3329,129b_2.jpg,potato masher,e,hard to identify,delete
3334,132a_2.jpg,bowling ball,e,duplicate,delete
3335,132b_2.jpg,bowling ball,e,duplicate,delete
3344,137a_1.jpg,?,e,hard to identify,delete
3345,137b_1.jpg,?,e,hard to identify,delete
3346,138a_1.jpg,tofu,e,duplicate,delete
3347,138b_1.jpg,tofu,e,duplicate,delete
3356,143a_1.jpg,pizza cutter,e,duplicate,delete
3357,143b_1.jpg,pizza cutter,e,duplicate,delete
3368,149a_2.jpg,apple slicer,e,duplicate,delete
3369,149b_2.jpg,apple slicer,e,duplicate,delete
3372,151a_2.jpg,hole puncher,e,duplicate,delete
3373,151b_2.jpg,hole puncher,e,duplicate,delete
3376,153a_2.jpg,ironing board,e,duplicate,delete
3377,153b_2.jpg,ironing board,e,duplicate,delete
3380,155a_2.jpg,leaf blower,e,duplicate,delete
3381,155b_2.jpg,leaf blower,e,duplicate,delete
3382,156a_2.jpg,light house ,e,duplicate,delete
3383,156b_2.JPG,light house ,e,duplicate,delete
3386,158a_1.jpg,stepping stool,e,Duplicate from set 1 image 161,delete
3387,158b_1.jpg,stepping stool,e,Duplicate from set 1 image 161,delete
3388,159a_1.jpg,nail clippers,e,duplicate,delete
3389,159b_1.jpg,nail clippers,e,duplicate,delete
3396,163a_2.jpg,rocking chair,e,duplicate,delete
3397,163b_2.jpg,rocking chair,e,duplicate,delete
3402,166a_2.jpg,club lights,e,duplicate,delete
3403,166b_2.jpg,club lights,e,duplicate,delete
3406,168a_1.jpg,scraper tool,e,hard to identify,delete
3407,168b_1.jpg,scraper tool,e,hard to identify,delete
3410,170a_1.jpg,folder,e,hard to see,delete
3412,171a_2.jpg,tape recorder,e,duplicate,delete
3413,171b_2.jpg,tape recorder,e,duplicate,delete
3416,173a_2.jpg,tape dispenser,e,duplicate,delete
3417,173b_2.jpg,tape dispenser,e,duplicate,delete
3420,175a_1.jpg,sawhorse work bench,e,hard to identify,delete
3421,175b_1.jpg,sawhorse work bench,e,hard to identify,delete
3426,178a_2.jpg,dustpan,e,duplicate,delete
3427,178b_2.jpg,dustpan,e,duplicate,delete
3430,180a_1.jpg,candy dispenser,e,duplicate,delete
3431,180b_1.jpg,candy dispenser,e,duplicate,delete
3434,182a_2.jpg,hot tub,e,duplicate,delete
3435,182b_2.jpg,hot tub,e,duplicate,delete
3444,187a_1.jpg,coin purse,e,duplicate,delete
3445,187b_1.jpg,coin purse,e,duplicate,delete
3446,188a_2.jpg,?,e,hard to identify,delete
3447,188b_2.jpg,?,e,hard to identify,delete
3448,189a_2.jpg,shoe horn,e,duplicate,delete
3449,189b_2.jpg,shoe horn,e,duplicate,delete
3450,190a_1.jpg,cat litter,e,hard to identify,delete
3451,190b_1.jpg,cat litter,e,hard to identify,delete
3452,191a_2.jpg,ping pong table,e,similar,delete
3453,191b_2.jpeg,ping pong table,e,similar,delete
3454,192a_2.jpg,mr potato head,e,duplicate,delete
3455,192b_2.jpg,mr potato head,e,duplicate,delete
3458,002a_2.jpg,fridge,f,duplicate,delete
3459,002b_2.jpg,fridge,f,duplicate,delete
3460,003a_2.jpg,headphones,f,duplicate,delete
3461,003b_2.jpg,headphones,f,duplicate,delete
3462,004a_1.jpg,grapefruit,f,duplicate,delete
3463,004b_1.jpg,grapefruit,f,duplicate,delete
3468,007a_2.jpg,pencil,f,duplicate,delete
3469,007b_2.jpg,pencil,f,duplicate,delete
3470,008a_1.jpg,highlighter,f,hard to identify,delete
3472,009a_1.jpg,banana,f,similar,delete
3473,009b_1.jpg,banana,f,similar,delete
3486,016a_1.jpg,shoe horn,f,duplicate,delete
3487,016b_1.jpg,shoe horn,f,duplicate,delete
3488,017a_1.jpg,manniquen,f,similar,delete
3489,017b_1.jpg,manniquen,f,similar,delete
3490,018a_1.jpg,flute,f,similar,delete
3491,018b_1.jpg,flute,f,similar,delete
3492,019a_2.jpg,sunflower,f,duplicate,delete
3493,019b_2.jpg,sunflower,f,duplicate,delete
3494,020a_1.jpg,doily,f,hard to see,delete
3495,020b_1.jpg,doily,f,hard to see,delete
3510,028a_1.jpg,ladel,f,similar,delete
3511,028b_1.jpg,ladel,f,similar,delete
3512,029a_2.jpg,cheese shredded,f,similar,delete
3513,029b_2.jpg,cheese shredded,f,similar,delete
3514,030a_1.jpg,gloves,f,duplicate,delete
3515,030b_1.jpg,gloves,f,duplicate,delete
3516,031a_2.jpg,papaya,f,duplicate,delete
3517,031b_2.jpg,papaya,f,duplicate,delete
3520,033a_2.jpg,fan,f,similar,delete
3521,033b_2.jpg,fan,f,similar,delete
3534,040a_2.jpg,music note,f,duplicate,delete
3535,040b_2.jpg,music note,f,duplicate,delete
3546,046a_2.jpg,paint brush,f,similar,delete
3547,046b_2.jpg,paint brush,f,similar,delete
3548,047a_1.jpg,wisk,f,duplicate,delete
3549,047b_1.jpg,wisk,f,duplicate,delete
3550,048a_1.jpg,?,f,hard to identify,delete
3551,048b_1.jpg,?,f,hard to identify,delete
3552,049a_1.jpg,backpack,f,similar,delete
3553,049b_1.jpg,backpack,f,similar,delete
3556,051a_1.jpg,stopwatch,f,similar,delete
3557,051b_1.jpg,stopwatch,f,similar,delete
3560,053a_1.jpg,chello,f,Duplicate from set 3 image #152,delete
3561,053b_1.jpg,chello,f,Duplicate from set 3 image #152,delete
3562,054a_2.jpg,tennis ball,f,duplicate,delete
3563,054b_2.jpg,tennis ball,f,duplicate,delete
3566,056a_2.jpg,jackfruit,f,duplicate,delete
3567,056b_2.jpg,jackfruit,f,duplicate,delete
3568,057a_1.jpg,burrito,f,duplicate,delete
3569,057b_1.jpg,burrito,f,duplicate,delete
3574,060a_1.jpg,baseball cap,f,duplicate,delete
3575,060b_1.jpg,baseball cap,f,duplicate,delete
3576,061a_1.jpg,football,f,duplicate,delete
3577,061b_1.jpg,football,f,duplicate,delete
3580,063a_2.jpg,bull clip,f,duplicate,delete
3581,063b_2.jpg,bull clip,f,duplicate,delete
3584,065a_1.jpg,bassoon,f,hard to identify,delete
3585,065b_1.jpg,bassoon,f,hard to identify,delete
3586,066a_1.jpg,loudspeaker,f,duplicate in the same set,delete
3587,066b_1.jpg,loudspeaker,f,duplicate in the same set,delete
3590,068a_2.jpg,leather jacket,f,duplicate,delete
3591,068b_2.jpg,leather jacket,f,duplicate,delete
3594,070a_2.jpg,furry keychain,f,duplicate,delete
3595,070b_2.jpg,furry keychain,f,duplicate,delete
3596,071a_1.jpg,flute,f,duplicate,delete
3597,071b_1.jpg,flute,f,duplicate,delete
3602,074a_2.jpg,cone,f,duplicate,delete
3603,074b_2.jpg,cone,f,duplicate,delete
3610,078a_1.jpg,cowboy boots,f,similar,delete
3611,078b_1.jpg,cowboy boots,f,similar,delete
3612,079a_1.jpg,electric onion chopper,f,duplicate,delete
3613,079b_1.jpg,electric onion chopper,f,duplicate,delete
3614,080a_2.jpg,high heels,f,similar,delete
3615,080b_2.jpg,high heels,f,similar,delete
3620,083a_1.jpg,lawn mower,f,duplicate,delete
3621,083b_1.jpg,lawn mower,f,duplicate,delete
3622,084a_1.jpg,bird cage,f,similar,delete
3623,084b_1.jpg,bird cage,f,similar,delete
3624,085a_2.jpg,gardening scissors,f,duplicate,delete
3625,085b_2.jpg,gardening scissors,f,duplicate,delete
3628,087a_2.jpg,gardening hoe,f,duplicate,delete
3629,087b_2.jpg,gardening hoe,f,duplicate,delete
3632,089a_1.jpg,leaf rake,f,duplicate,delete
3633,089b_1.jpg,leaf rake,f,duplicate,delete
3638,092a_1.jpg,?,f,hard to identify,delete
3639,092b_1.jpg,?,f,hard to identify,delete
3642,094a_1.jpg,hair dryer,f,duplicate,delete
3643,094b_1.jpg,hair dryer,f,duplicate,delete
3644,095a_2.jpg,rubber mallet,f,duplicate,delete
3645,095b_2.jpg,rubber mallet,f,duplicate,delete
3646,096a_1.jpg,lipstick,f,duplicate,delete
3647,096b_1.jpg,lipstick,f,duplicate,delete
3650,098a_1.jpg,walnut,f,Duplicate from set 6 image #08,delete
3651,098b_1.jpg,walnut,f,Duplicate from set 6 image #08,delete
3658,102a_1.jpg,volleyball,f,duplicate,delete
3659,102b_1.jpg,volleyball,f,duplicate,delete
3664,105a_1.jpg,microphone,f,similar in same set,delete
3665,105b_1.jpg,microphone,f,similar in same set,delete
3670,108a_1.jpg,candle lantern,f,similar in same set,delete
3671,108b_1.jpg,candle lantern,f,similar in same set,delete
3672,109a_1.jpg,tennis shoes,f,Duplicate from set 2 #160,delete
3673,109b_1.jpg,tennis shoes,f,Duplicate from set 2 #160,delete
3674,110a_2.jpg,post it note,f,duplicate,delete
3675,110b_2.jpg,post it note,f,duplicate,delete
3676,111a_1.jpg,thermos,f,duplicate,delete
3677,111b_1.jpg,thermos,f,duplicate,delete
3678,112a_1.jpg,crab fork,f,duplicate,delete
3679,112b_1.jpg,crab fork,f,duplicate,delete
3680,113a_2.jpg,spoon,f,duplicate,delete
3681,113b_2.jpg,spoon,f,duplicate,delete
3682,114a_1.jpg,bananas,f,similar in same set,delete
3683,114b_1.jpg,bananas,f,similar in same set,delete
3684,115a_2.jpg,cookie,f,similar ,delete
3685,115b_2.jpg,cookie,f,similar ,delete
3686,116a_2.jpg,cupcake,f,duplicate,delete
3687,116b_2.jpg,cupcake,f,duplicate,delete
3688,117a_2.jpg,frog,f,duplicate,delete
3689,117b_2.jpg,frog,f,duplicate,delete
3692,119a_1.jpg,bicycle,f,duplicate,delete
3693,119b_1.jpg,bicycle,f,duplicate,delete
3694,120a_1.jpg,burger,f,Duplicate from set 6 image 15,delete
3695,120b_1.jpg,burger,f,Duplicate from set 6 image 15,delete
3700,123a_1.jpg,folders,f,similar,delete
3701,123b_1.jpg,folders,f,similar,delete
3702,124a_2.jpg,notebook,f,similar,delete
3703,124b_2.jpg,notebook,f,similar,delete
3704,125a_1.jpg,notebook,f,duplicate,delete
3705,125b_1.jpg,notebook,f,duplicate,delete
3706,126a_1.jpg,briefcase,f,similar,delete
3707,126b_1.jpg,briefcase,f,similar,delete
3708,127a_2.jpg,crutches,f,duplicate,delete
3709,127b_2.jpg,crutches,f,duplicate,delete
3710,128a_2.jpg,towels,f,duplicate,delete
3711,128b_2.jpg,towels,f,duplicate,delete
3712,129a_2.jpg,chopstick holder,f,duplicate,delete
3713,129b_2.jpg,chopstick holder,f,duplicate,delete
3716,131a_1.jpg,bull clip,f,similar in same set,delete
3717,131b_1.jpg,bull clip,f,similar in same set,delete
3718,132a_2.jpg,whale toy,f,Duplicate from set 6 image 146,delete
3719,132b_2.jpg,whale toy,f,Duplicate from set 6 image 146,delete
3720,133a_1.jpg,shrimp,f,duplicate,delete
3721,133b_1.jpg,shrimp,f,duplicate,delete
3726,136a_2.jpg,wistle,f,Duplicate from set 3 image 53,delete
3727,136b_2.jpg,wistle,f,Duplicate from set 3 image 53,delete
3728,137a_1.jpg,flute,f,similar in same set,delete
3729,137b_1.jpg,flute,f,similar in same set,delete
3730,138a_1.jpg,oboa,f,similar in same set,delete
3731,138b_1.jpg,oboa,f,similar in same set,delete
3732,139a_1.jpg,violin,f,similar in same set,delete
3733,139b_1.jpg,violin,f,similar in same set,delete
3734,140a_2.jpg,trumpet,f,similar,delete
3735,140b_2.jpg,trumpet,f,similar,delete
3736,141a_2.jpg,metronome,f,duplicate,delete
3737,141b_2.jpg,metronome,f,duplicate,delete
3744,145a_1.jpg,sewing thimble,f,hard to identify,delete
3745,145b_1.jpg,sewing thimble,f,hard to identify,delete
3746,146a_2.jpg,football,f,similar in same set,delete
3747,146b_2.jpg,football,f,similar in same set,delete
3748,147a_2.jpg,leaf rake,f,similar in same set,delete
3749,147b_2.jpg,leaf rake,f,similar in same set,delete
3750,148a_1.jpg,gardening gloves,f,similar,delete
3751,148b_1.jpg,gardening gloves,f,similar,delete
3752,149a_2.jpg,poking tool,f,hard to identify,delete
3753,149b_2.jpg,poking tool,f,hard to identify,delete
3756,151a_2.jpg,feather earrings,f,duplicate,delete
3757,151b_2.jpg,feather earrings,f,duplicate,delete
3762,154a_2.jpg,sandwich,f,duplicate,delete
3763,154b_2.jpg,sandwich,f,duplicate,delete
3766,156a_2.jpg,tie,f,similar,delete
3767,156b_2.JPG,tie,f,similar,delete
3768,157a_2.jpg,bow tie,f,similar in same set,delete
3769,157b_2.jpg,bow tie,f,similar in same set,delete
3774,160a_1.jpg,rug,f,duplicate,delete
3775,160b_1.jpg,rug,f,duplicate,delete
3776,161a_1.jpg,eraser,f,duplicate,delete
3777,161b_1.jpg,eraser,f,duplicate,delete
3778,162a_2.jpeg,belt,f,similar in same set,delete
3779,162b_2.jpg,belt,f,similar in same set,delete
3782,164a_1.jpg,CD player,f,duplicate,delete
3783,164b_1.jpg,CD player,f,duplicate,delete
3788,167a_2.jpg,plate,f,similar,delete
3789,167b_2.jpg,plate,f,similar,delete
3792,169a_2.jpg,stone,f,hard to identify,delete
3793,169b_2.jpg,stone,f,hard to identify,delete
3794,170a_1.jpg,ribbon,f,similar,delete
3795,170b_1.jpg,ribbon,f,similar,delete
3796,171a_2.jpg,I voted,f,Duplicate from set 6 image 117,delete
3797,171b_2.jpg,I voted,f,Duplicate from set 6 image 117,delete
3806,176a_1.jpg,monitor,f,duplicate,delete
3807,176b_1.jpg,monitor,f,duplicate,delete
3808,177a_2.jpg,muffin,f,duplicate,delete
3809,177b_2.jpg,muffin,f,duplicate,delete
3810,178a_2.jpg,mug,f,duplicate,delete
3811,178b_2.jpg,mug,f,duplicate,delete
3814,180a_1.jpg,post card,f,duplicate,delete
3815,180b_1.jpg,post card,f,duplicate,delete
3816,181a_1.jpg,chalk,f,similar,delete
3817,181b_1.jpg,chalk,f,similar,delete
3820,183a_1.jpg,moving boxes,f,similar,delete
3821,183b_1.jpg,moving boxes,f,similar,delete
3824,185a_1.jpg,highlighter,f,similar in same set,delete
3825,185b_1.jpg,highlighter,f,similar in same set,delete
3826,186a_2.jpg,bottle cap?,f,hard to identify,delete
3827,186b_2.jpg,bottle cap?,f,hard to identify,delete
3828,187a_1.jpg,coffee thermos,f,similar,delete
3829,187b_1.jpg,coffee thermos,f,similar,delete
3830,188a_2.jpg,school lunch,f,duplicate,delete
3831,188b_2.jpg,school lunch,f,duplicate,delete
3832,189a_2.jpg,leather boots,f,similar in same set,delete
3833,189b_2.jpg,leather boots,f,similar in same set,delete
