,MDT-O ,Object,Set #,Notes,notes2
1776,121a_2.jpg,electric onion chopper,5,same concept as in set 4,delete
1777,121b_2.jpg,electric onion chopper,5,same concept as in set 4,delete
1778,122a_1.jpg,tape measure,5,same concept as in set 4,delete
1779,122b_1.jpg,tape measure,5,same concept as in set 4,delete
1786,126a_1.jpg,mini BBQ grill,5,same concept as in set 4,delete
1787,126b_1.jpg,mini BBQ grill,5,same concept as in set 4,delete
1798,132a_2.jpg,plastic mini balls,5,hard to identify,delete
1799,132b_2.jpg,plastic mini balls,5,hard to identify,delete
1830,148a_1.jpg,drum,5,blurry image,delete
1831,148b_1.jpg,drum,5,blurry image,delete
1836,151a_2.jpg,whisk,5,same concept as in set 4,delete
1837,151b_2.jpg,whisk,5,same concept as in set 4,delete
1846,156a_2.jpg,?,5,blurry image,delete
1847,156b_2.JPG,?,5,blurry image,delete
1852,159a_1.jpg,landline,5,blurry image,delete
1853,159b_1.jpg,landline,5,blurry image,delete
1854,160a_1.jpg,maple syrup,5,blurry image,delete
1855,160b_1.jpg,maple syrup,5,blurry image,delete
1856,161a_1.jpg,headphones,5,same concept as in set 4,delete
1857,161b_1.jpg,headphones,5,same concept as in set 4,delete
1858,162a_2.jpeg,?,5,blurry image,delete
1859,162b_2.jpg,?,5,blurry image,delete
1864,165a_1.jpg,towels,5,same concept in set 5,delete
1865,165b_1.jpg,towels,5,same concept in set 5,delete
1866,166a_2.jpg,post-it note,5,same concept as in set 4,delete
1867,166b_2.jpg,post-it note,5,same concept as in set 4,delete
1870,168a_1.jpg,dog,5,blurry image,delete
1871,168b_1.jpg,dog,5,blurry image,delete
1884,175a_1.jpg,step stool,5,same concept as in set 4,delete
1885,175b_1.jpg,step stool,5,same concept as in set 4,delete
1890,178a_2.jpg,rake,5,same concept as in set 4,delete
1891,178b_2.jpg,rake,5,same concept as in set 4,delete
1914,190a_1.jpg,coax cable,5,blurry image,delete
1915,190b_1.jpg,coax cable,5,blurry image,delete
1926,004a.jpg, bellow,6,not easy to identify ,delete
1927,004b.jpg,bellow,6,not easy to identify ,delete
1930,006a.jpg,small ball and jacks game set,6,blurry image,delete
1931,006b.jpg,small ball and jacks game set,6,blurry image,delete
1936,009a.jpg,binder with schedule,6,blurry image,delete
1937,009b.jpg,binder with daily schedule,6,blurry image,delete
1940,011a.jpg,paper towel holder,6,blurry image,delete
1941,011b.jpg,paper towel holder,6,blurry image,delete
1952,017a.jpg,adjustable poly hose nozzle,6,not easily identifiable ,delete
1953,017b.jpg,adjustable poly hose nozzle,6,not easily identifiable ,delete
1968,025a.jpg,racket,6,slightly blurry image,delete
1969,025b.jpg,racket ,6,slightly blurry image,delete
1982,032a.jpg,motorcycle ,6,blurry image,delete
1983,032b.jpg,motorcycle ,6,blurry image,delete
1984,033a.jpg,"fruit, yogurt parfait ",6,slightly blurry,delete
1985,033b.jpg,"fruit, yogurt parfait ",6,slightly blurry,delete
1994,038a.jpg,Compass Arc,6,"good quality image, not easily identifiable ",delete
1995,038b.jpg,Compass Arc,6,"good quality image, not easily identifiable ",delete
2004,043a.jpg,earring,6,"good quality image, not easily identifiable ",delete
2005,043b.jpg,earring,6,"good quality image, not easily identifiable ",delete
2010,046a.jpg,connector,6,"clear image, not easily identifiable ",delete
2011,046b.jpg,connector,6,"clear image, not easily identifiable ",delete
2012,047a.jpg,controller ,6,blurry image,delete
2013,047b.jpg,controller ,6,blurry image,delete
2016,049a.jpg,monitor,6,"clear image, not easily identifiable ",delete
2017,049b.jpg,monitor,6,"clear image, not easily identifiable ",delete
2020,051a.jpg,tool,6,"clear image, not easily identifiable ",delete
2021,051b.jpg,tool,6,"clear image, not easily identifiable ",delete
2022,052a.jpg,leash,6,"clear image, not easily identifiable ",delete
2023,052b.jpg,leash,6,"clear image, not easily identifiable ",delete
2034,058a.jpg,alcohol bottle,6,"clear image, not easily identifiable ",delete
2035,058b.jpg,cologne,6,"clear image, not easily identifiable ",delete
2038,060a.jpg,lily plant ,6,"clear image, not easily identifiable ",delete
2039,060b.jpg,lily plant ,6,"clear image, not easily identifiable ",delete
2040,061a.jpg,hurdle,6,"clear image, not easily identifiable ",delete
2041,061b.jpg,hurdle,6,"clear image, not easily identifiable ",delete
2052,067a.jpg,litter box,6,"clear image, not easily identifiable ",delete
2053,067b.jpg,litter box,6,"clear image, not easily identifiable ",delete
2086,084a.jpg,confidiment box,6,"clear image, not easily identifiable ",delete
2087,084b.jpg,confidiment box,6,"clear image, not easily identifiable ",delete
2092,087a.jpg,grass trimmer,6,"clear image, not easily identifiable ",delete
2093,087b.jpg,grass trimmer,6,"clear image, not easily identifiable ",delete
2094,088a.jpg,globes,6,slightly blurry image,delete
2095,088b.jpg,globes,6,slightly blurry image,delete
2096,089a.jpg,server and storage box,6,"clear image, not easily identifiable ",delete
2097,089b.jpg,server and storage box,6,"clear image, not easily identifiable ",delete
2110,096a.jpg,bookend,6,"clear image, not easily identifiable ",delete
2111,096b.jpg,bookend,6,"clear image, not easily identifiable ",delete
2116,099a.jpg,Waikiki,6,"clear image, not easily identifiable ",delete
2117,099b.jpg,Waikiki,6,"clear image, not easily identifiable ",delete
2132,107a.jpg,art table,6,"clear image, not easily identifiable ",delete
2133,107b.jpg,art table,6,"clear image, not easily identifiable ",delete
2160,121a.jpg,balloon ,6,"clear image, not easily identifiable ",delete
2161,121b.jpg,balloon ,6,"clear image, not easily identifiable ",delete
2174,128a.jpg,wright tool,6,"clear image, not easily identifiable ",delete
2175,128b.jpg,wright tool,6,"clear image, not easily identifiable ",delete
2186,134a.jpg,marimba,6,"clear image, not easily identifiable ",delete
2187,134b.jpg,marimba,6,"clear image, not easily identifiable ",delete
2194,138a.jpg,golf club set,6,slightly blurry image ,delete
2195,138b.jpg,golf club set,6,slightly blurry image ,delete
2238,160a.jpg,toy fish,6,"clear image, not easily identifiable ",delete
2239,160b.jpg,toy fish,6,"clear image, not easily identifiable ",delete
2242,162a.jpg,clear jars ,6,"clear image, not easily identifiable ",delete
2243,162b.jpg,clear jars ,6,"clear image, not easily identifiable ",delete
2258,170a.jpg,antique ,6,"clear image, not easily identifiable ",delete
2259,170b.jpg,antique ,6,"clear image, not easily identifiable ",delete
2296,189a.jpg,machine,6,"clear image, not easily identifiable ",delete
2297,189b.jpg,machine,6,"clear image, not easily identifiable ",delete
2298,190a.jpg,gem,6,"clear image, not easily identifiable ",delete
2299,190b.jpg,gem,6,"clear image, not easily identifiable ",delete
2310,004a.jpg,game board,c,"good quality, not easily identifiable ",delete
2311,004b.jpg,game board ,c,"good quality, not easily identifiable ",delete
2316,007a.jpg,computer ,c,"good quality, not easily identifiable ",delete
2317,007b.jpg,computer ,c,"good quality, not easily identifiable ",delete
2326,012a.jpg,alarm clock,c,slightly blurry image ,delete
2327,012b.jpg,alarm clock,c,slightly blurry image ,delete
2331,014b.jpg,globe,c, slightly blurry image,delete
2336,017a.jpg,vintage radio,c,"good quality, not easily identifiable ",delete
2337,017b.jpg,vintage radio,c,"good quality, not easily identifiable ",delete
2352,025a.jpg,life preserver ,c,"good quality, not easily identifiable ",delete
2353,025b.jpg,life preserver ,c,"good quality, not easily identifiable ",delete
2372,035a.jpg,pliers ,c,Duplicate of set 6 #155,delete
2373,035b.jpg,pliers ,c,Duplicate of set 6 #155,delete
2378,038a.jpg,ping pong racket ,c,Duplicate of 110 from set 2 (both ping pong paddles),delete
2379,038b.jpg,ping pong racket ,c,Duplicate of 110 from set 2 (both ping pong paddles),delete
2384,041a.jpg,bookstack,c,blurry image ,delete
2385,041b.jpg,bookstack,c,blurry image ,delete
2398,048a.jpg,computer tool ,c,"good quality image, not easily identifiable ",delete
2399,048b.jpg,computer tool ,c,"good quality image, not easily identifiable ",delete
2406,052a.jpg,gavel,c,slightly blurry image ,delete
2414,056a.jpg,computer tool ,c,"good quality image, not easily identifiable ",delete
2415,056b.jpg,computer tool ,c,"good quality image, not easily identifiable ",delete
2420,059a.jpg,measuring tape,c,Duplicate of set 4 #141,delete
2421,059b.jpg,measuring tape,c,Duplicate of set 4 #141,delete
2424,061a.jpg,plumb bob,c,"good quality image, not easily identifiable ",delete
2425,061b.jpg,plumb bob,c,"good quality image, not easily identifiable ",delete
2426,062a.jpg,tool,c,"good quality image, not easily identifiable ",delete
2427,062b.jpg,tool,c,"good quality image, not easily identifiable ",delete
2458,078a.jpg,tape,c,blurry image ,delete
2459,078b.jpg,tape,c,blurry image ,delete
2460,079a.jpg,leather shoe,c,duplicate,delete
2461,079b.jpg,leather shoe,c,duplicate,delete
2464,081a.jpg,comb,c,duplicate,delete
2465,081b.jpg,comb,c,duplicate,delete
