index,MDT-O ,Object,Set #,Lure Rating,Notes
155,078b_1.jpg,cabinet,1,3,
156,079a_1.jpg,3d glasses,1,,
157,079b_1.jpg,3d glasses,1,1,
158,080a_2.jpg,chisel,1,,
159,080b_2.jpg,chisel,1,5,
160,081a_1.jpg,jack in the box,1,,
161,081b_1.jpg,jack in the box,1,2,
162,082a_1.jpg,gas pump,1,,
163,082b_1.jpg,gas pump,1,4,
164,083a_1.jpg,platter,1,,
165,083b_1.jpg,platter,1,3,
166,084a_1.jpg,car antenna,1,,
167,084b_1.jpg,car antenna,1,2,
168,085a_2.jpg,keyboard,1,,
169,085b_2.jpg,keyboard,1,1,
170,086a_1.jpg,dish washer,1,,
171,086b_1.jpg,dish washer,1,5,
172,087a_2.jpg,fruit loops,1,,
173,087b_2.jpg,fruit loops,1,3,
174,088a_1.jpg,runner starting block,1,,
175,088b_1.jpg,runner starting block,1,1,
176,089a_1.jpg,bassoon,1,,
177,089b_1.jpg,bassoon,1,3,
178,090a_1.jpg,soccer goal,1,,
179,090b_1.jpg,soccer goal,1,5,
180,091a_2.jpg,power strip,1,,
181,091b_2.jpg,power strip,1,5,
182,092a_1.jpg,fork lift,1,,
183,092b_1.jpg,fork lift,1,3,
184,093a_2.jpg,shower curtain hangers,1,,
185,093b_2.jpg,shower curtain hangers,1,4,
186,094a_1.jpg,lamp,1,,
187,094b_1.jpg,lamp,1,3,
188,095a_2.jpg,benchpress table,1,,
189,095b_2.jpg,benchpress table,1,4,
190,096a_1.jpg,weights,1,,
191,096b_1.jpg,weights,1,4,
192,097a_1.jpg,jeans,1,,
193,097b_1.jpg,jeans,1,3,
194,098a_1.jpg,ice-cube tray,1,,
195,098b_1.jpg,ice-cube tray,1,4,
196,099a_2.jpg,mail slot,1,,
197,099b_2.jpg,mail slot,1,1,
198,100a_2.jpg,spray bottle,1,,
199,100b_2.jpg,spray bottle,1,1,
200,101a_2.jpg,heart keychain,1,,
201,101b_2.jpg,heart keychain,1,2,
202,102a_1.jpg,record,1,,
203,102b_1.jpg,record,1,3,
204,103a_1.jpg,microwave,1,,
205,103b_1.jpg,microwave,1,5,
206,104a_1.jpg,tractor,1,,
207,104b_1.jpg,tractor,1,1,
208,105a_1.jpg,garden gloves,1,,
209,105b_1.jpg,garden gloves,1,4,
210,106a_2.jpg,chocolate popsicle,1,,
211,106b_2.jpg,chocolate popsicle,1,4,
212,107a_2.jpg,paint brush,1,,
213,107b_2.jpg,paint brush,1,2,
214,108a_1.jpg,soccer ball,1,,
215,108b_1.jpg,soccer ball,1,2,
216,109a_1.jpg,stairs,1,,
217,109b_1.jpg,stairs,1,4,
218,110a_2.jpg,iphone,1,,
219,110b_2.jpg,iphone,1,1,
220,111a_1.jpg,butter,1,,
221,111b_1.jpg,butter,1,2,
222,112a_1.jpg,belt,1,,
223,112b_1.jpg,belt,1,5,
224,113a_2.jpg,ruler,1,,
225,113b_2.jpg,ruler,1,3,
226,114a_1.jpg,clarinet,1,,
227,114b_1.jpg,clarinet,1,3,
228,115a_2.jpg,confetti,1,,
229,115b_2.jpg,confetti,1,1,
230,116a_2.jpg,suit,1,,
231,116b_2.jpg,suit,1,4,
232,117a_2.jpg,coffee dispenser,1,,
233,117b_2.jpg,coffee dispenser,1,4,
234,118a_2.jpg,tomato,1,,
235,118b_2.jpg,tomato,1,4,
236,119a_1.jpg,chalk,1,,
237,119b_1.jpg,chalk,1,1,
238,120a_1.jpg,router,1,,
239,120b_1.jpg,router,1,3,
240,121a_2.jpg,swimsuit,1,,
241,121b_2.jpg,suimsuit,1,4,
242,122a_1.jpg,handbag,1,,
243,122b_1.jpg,handbag,1,2,
244,123a_1.jpg,angel statue,1,,
245,123b_1.jpg,angel statue,1,4,
246,124a_2.jpg,projector,1,,
247,124b_2.jpg,projector,1,2,
248,125a_1.jpg,mop,1,,
249,125b_1.jpg,mop,1,4,
250,126a_1.jpg,slippers,1,,
251,126b_1.jpg,slippers,1,5,
252,127a_2.jpg,slotted spatula,1,,
253,127b_2.jpg,slotted spatula,1,2,
254,128a_2.jpg,water jug,1,,
255,128b_2.jpg,water jug,1,2,
256,129a_2.jpg,trumpet,1,,
257,129b_2.jpg,trumpet,1,2,
258,130a_2.jpg,peanuts,1,,
259,130b_2.jpg,peanuts,1,3,
260,132a_2.jpg,anglar ruler,1,,
261,132b_2.jpg,anglar ruler,1,2,
262,133a_1.jpg,wok,1,,
263,133b_1.jpg,wok,1,5,
264,134a_2.jpg,microphone,1,,
265,134b_2.jpg,microphone,1,2,
266,135a_2.jpg,drain stop,1,,
267,135b_2.jpg,drain stop,1,5,
268,136a_2.jpg,blood pressure cuff,1,,
269,136b_2.jpg,blood pressure cuff,1,5,
270,137a_1.jpg,megaphone,1,,
271,137b_1.jpg,megaphone,1,2,
272,138a_1.jpg,rope,1,,
273,138b_1.jpg,rope,1,5,
274,139a_1.jpg,cutting board,1,,
275,139b_1.jpg,cutting board,1,1,
276,140a_2.jpg,sewing machine,1,,
277,140b_2.jpg,sewing machine,1,1,
278,141a_2.jpg,tv cords,1,,
279,141b_2.jpg,tv cords,1,3,
280,142a_2.jpg,balloon,1,,
281,142b_2.jpg,balloon,1,4,
282,143a_1.jpg,toy barn,1,,
283,143b_1.jpg,toy barn,1,4,
284,144a_1.jpg,yoga ball chair,1,,
285,144b_1.jpg,yoga ball chair,1,3,
286,145a_1.jpg,trophy,1,,
287,145b_1.jpg,trophy,1,4,
288,147a_2.jpg,screw hooks,1,,
289,147b_2.jpg,screw hooks,1,5,
290,148a_1.jpg,rose,1,,
291,148b_1.jpg,rose,1,2,
292,149a_2.jpg,wheel barrow,1,,
